Código,Descrição da Habilidade
D01,"Identificar a localização/movimentação de objeto em mapas, croquis e outras representações gráficas."
D02,"Identificar propriedades comuns e diferenças entre figuras bidimensionais e tridimensionais, relacionando-as com as suas planificações."
D03,Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
D04,Identificar relação entre quadriláteros por meio de suas propriedades.
D05,"Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas."
D06,"Reconhecer ângulos como mudança de direção ou giros, identificando ângulos retos e não-retos."
D09,Interpretar informações apresentadas por meio de coordenadas cartesianas.
D12,Resolver problema envolvendo o cálculo de perímetro de figuras planas.
D13,Resolver problema envolvendo o cálculo de área de figuras planas.
D14,Resolver problema envolvendo noções de volume.
D15,Resolver problema utilizando relações entre diferentes unidades de medida.
D16,Identificar a localização de números inteiros na reta numérica.
D17,Identificar a localização de números racionais na reta numérica.
D18,"Efetuar cálculos com números inteiros, envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
D19,"Resolver problema com números naturais, envolvendo diferentes significados das operações (adição, subtração, multiplicação, divisão, potenciação)."
D20,"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
D21,Reconhecer as diferentes representações de um número racional.
D22,Identificar fração como representação que pode estar associada a diferentes significados.
D23,Identificar frações equivalentes.
D24,"Reconhecer as representações decimais dos números racionais como uma extensão do sistema de numeração decimal, identificando a existência de “ordens” como décimos, centésimos e milésimos."
D25,"Efetuar cálculos que envolvam operações com números racionais (adição, subtração, multiplicação, divisão, potenciação)."
D26,"Resolver problema com números racionais envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
D28,Resolver problema que envolva porcentagem.
D29,"Resolver problema que envolva variação proporcional, direta ou inversa, entre grandezas."
D32,Identificar a expressão algébrica que expressa uma regularidade observada em sequências de números ou figuras (padrões).
D33,Identificar uma equação ou inequação do 1º grau que expressa um problema.
D36,Resolver problema envolvendo informações apresentadas em tabelas e/ou gráficos.
D37,Associar informações apresentadas em listas e/ou tabelas simples aos gráficos que as representam e vice-versa.
